Channel,Contribution,Contribution_pct
PANJAVED+DIGITAL,6.294309507825782e-17,-7.6207751461165385
TOTAL+IN STORE,5.786396385150591e-17,-7.005824181780091
PANJAVED+TV,5.557059181954885e-17,-6.728156352446191
TOTAL+DIGITAL,2.1502938082419968e-17,-2.603447699914483
SALT+IN STORE,1.1667828751397354e-17,-1.412671227038333
PANJAVED+OOH,8.211470314151983e-18,-0.9941959289634485
TOTAL+OTHERADVERTISING_NEWSPAPER_RADIO,5.3644456478089216e-18,-0.6494951354820921
SALT+OTHERADVERTISING_NEWSPAPER_RADIO,1.4407433250925528e-18,-0.17443662263744097
SALT+DIGITAL,0.0,-0.0
EQUITY+OTHERADVERTISING_NEWSPAPER_RADIO,-5.762565982206708e-18,0.6976971748919761
PANJAVED+IN STORE,-1.1181696474539501e-17,1.353813225718295
EQUITY+OOH,-2.4599065958215343e-17,2.9783084266665467
EQUITY+IN STORE,-3.4175775514383795e-17,4.137799393491202
CDC+DIGITAL,-3.914822263551209e-17,4.7398336815884
EQUITY+DIGITAL,-5.4087808100143814e-17,6.548629729202469
EQUITY+TV,-6.565074115294178e-17,7.948600809674656
TOTAL+TV,-8.529712879344353e-17,10.327268437244568
CDC+TV,-2.0043339463305456e-16,24.267281905540962
SALT+TV,-5.301695284108873e-16,64.18976951035955
