,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,23433107.807,8.58,23433096.055,23433123.656,5.469,2.459,3.0,23.0,2.8
beta_media[0],1.49,1.208,0.032,4.109,0.121,0.106,61.0,46.0,1.05
beta_media[1],1.571,1.138,0.035,3.874,0.11,0.077,82.0,73.0,1.03
beta_media[2],1.858,1.338,0.172,4.453,0.125,0.11,83.0,60.0,1.01
beta_media[3],1.6,1.142,0.034,3.65,0.15,0.148,48.0,25.0,1.06
beta_media[4],1.674,1.277,0.038,4.032,0.141,0.08,50.0,111.0,1.03
beta_media[5],1.602,1.227,0.014,3.657,0.137,0.116,40.0,17.0,1.03
beta_media[6],1.818,1.394,0.069,4.471,0.148,0.118,64.0,37.0,1.08
beta_media[7],1.753,1.074,0.285,3.593,0.089,0.086,105.0,47.0,1.0
beta_media[8],1.605,1.267,0.059,3.98,0.11,0.145,62.0,46.0,1.01
beta_media[9],1.502,1.344,0.029,4.298,0.168,0.146,46.0,60.0,1.03
beta_media[10],1.399,1.22,0.014,3.689,0.138,0.093,46.0,41.0,1.02
beta_media[11],1.59,1.086,0.008,3.416,0.125,0.057,67.0,41.0,0.99
beta_media[12],1.745,1.139,0.104,3.592,0.101,0.093,91.0,55.0,1.0
beta_media[13],1.694,1.284,0.04,4.391,0.119,0.11,74.0,57.0,1.0
beta_media[14],1.622,0.985,0.22,3.625,0.113,0.061,67.0,110.0,1.0
beta_media[15],1.986,1.369,0.006,4.217,0.154,0.165,67.0,59.0,1.05
beta_media[16],1.605,1.088,0.046,3.524,0.116,0.075,77.0,63.0,1.0
beta_media[17],1.303,1.334,0.029,4.009,0.137,0.149,34.0,78.0,1.06
beta_media[18],1.668,1.189,0.025,3.977,0.13,0.096,55.0,80.0,1.01
beta_control[0],-0.05,0.441,-0.877,0.761,0.036,0.038,163.0,79.0,1.01
beta_control[1],0.067,0.48,-0.77,0.959,0.037,0.043,181.0,72.0,1.1
beta_control[2],0.036,0.552,-0.72,1.355,0.039,0.064,200.0,78.0,1.02
beta_control[3],0.016,0.481,-0.795,1.04,0.043,0.055,154.0,32.0,1.02
beta_control[4],0.02,0.48,-0.759,1.035,0.034,0.08,200.0,56.0,1.05
beta_control[5],-0.01,0.506,-0.945,0.876,0.036,0.044,200.0,68.0,0.99
beta_control[6],0.011,0.579,-1.188,1.07,0.041,0.1,197.0,64.0,1.11
beta_control[7],0.014,0.432,-0.748,0.795,0.031,0.037,200.0,80.0,1.03
beta_control[8],0.002,0.481,-0.971,0.792,0.053,0.057,82.0,80.0,1.01
beta_control[9],0.062,0.547,-1.092,0.941,0.039,0.094,200.0,35.0,1.0
beta_control[10],-0.02,0.49,-1.022,0.817,0.035,0.046,200.0,87.0,1.01
beta_control[11],0.042,0.425,-0.558,0.958,0.03,0.049,200.0,102.0,1.03
beta_control[12],-0.033,0.55,-1.207,0.947,0.039,0.048,200.0,114.0,0.99
beta_control[13],-0.029,0.463,-0.883,0.801,0.038,0.051,149.0,75.0,1.06
beta_control[14],-0.037,0.408,-0.848,0.71,0.029,0.032,200.0,91.0,1.0
beta_control[15],-0.052,0.561,-1.141,1.027,0.04,0.13,200.0,21.0,1.13
beta_control[16],0.056,0.596,-1.152,1.095,0.05,0.084,146.0,60.0,1.06
beta_control[17],-0.037,0.636,-1.065,1.09,0.045,0.07,200.0,43.0,0.99
beta_control[18],-0.003,0.474,-0.776,1.052,0.034,0.049,200.0,81.0,1.0
beta_control[19],-0.008,0.439,-0.839,0.734,0.031,0.042,200.0,76.0,1.0
beta_control[20],-0.021,0.555,-1.362,0.791,0.039,0.07,200.0,92.0,1.08
beta_control[21],0.001,0.576,-0.968,1.044,0.041,0.094,200.0,18.0,1.08
beta_control[22],0.029,0.435,-0.7,0.856,0.031,0.063,200.0,55.0,1.12
beta_control[23],-0.026,0.519,-0.961,0.944,0.037,0.071,200.0,92.0,1.04
beta_control[24],-0.029,0.534,-1.082,0.932,0.038,0.042,195.0,103.0,1.0
beta_control[25],-0.002,0.487,-0.983,0.908,0.034,0.084,200.0,63.0,1.06
beta_control[26],0.004,0.541,-0.916,1.286,0.038,0.076,200.0,74.0,1.06
beta_control[27],-0.021,0.487,-1.05,0.754,0.034,0.046,200.0,65.0,0.99
beta_control[28],0.047,0.444,-0.754,0.866,0.036,0.056,172.0,48.0,1.09
beta_control[29],-0.044,0.599,-1.212,1.048,0.042,0.062,200.0,69.0,1.05
beta_control[30],0.033,0.461,-0.816,0.845,0.034,0.034,148.0,117.0,1.02
beta_control[31],-0.057,0.556,-1.169,0.889,0.039,0.048,200.0,121.0,1.02
beta_control[32],0.012,0.497,-0.927,1.051,0.035,0.054,200.0,67.0,0.98
beta_control[33],-0.007,0.455,-0.782,0.765,0.032,0.051,200.0,107.0,1.09
beta_control[34],-0.011,0.485,-0.799,0.802,0.034,0.035,200.0,79.0,1.0
beta_control[35],-0.007,0.467,-0.863,0.816,0.033,0.053,200.0,72.0,0.99
sigma,2721996.144,121249.335,2483091.797,2922495.342,10774.353,9182.706,131.0,79.0,1.0
